mz,time,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf
,,control,control,control,PD,PD,control,PD,PD,PD,control,PD,control,PD,PD,control,control,PD,PD,control,PD,PD,PD,control,PD,PD,PD,control,control,PD,control,PD,PD,PD,PD
100.0116778,310.8431726,592483,2812090,2369358,592483,592483,592483,592483,2452890,1672015.5,592483,592483,592483,4086663,1742934,592483,2727902,5090096,2065757.5,1257230,592483,4429377.333,2091156,592483,592483,2713937,592483,1847484,2625941,1184966,592483,592483,1998705,592483,592483
100.0246098,124.6491591,6188651.667,4191283,6149584,3576828,5314282.333,3499921.333,13979564.67,4239456,3681990.333,3549452.333,2455262.667,4391293.667,3037547,4331599.333,3385293.667,4077468.667,3286419.667,2925525,1634568.333,3515200,2002975,14690218,11127229.67,15348451,18425605,7352247.5,15680427.33,6031220.333,5742660,5702976.333,4388582.333,4343673.333,3918264.333,6329556.333
100.0291987,128.4927937,11567994.67,7514249.5,8873176.667,7063714,6956703.667,7478380,19457745.67,6108733,7018179.333,5399143,5300481.5,5981043.5,5457994,5284690,5011310,1851351.334,4616893,4410363,4656001,3702702.667,4217825.5,15895981.67,12202380.33,52849834.5,65278150.33,30304078.33,21794577.67,8269820.333,7733736,8642472,6157459,6231655.667,5248224.333,6110147
100.0292193,535.616081,2855419,3990578,1107695.5,2523381,5260025.667,5489170,6570008.5,4825453,6043807.5,5117353,1107695.5,5296827.5,1107695.5,3335217.5,5017772,5565510.333,6063945,6018540,2215391,4964971.333,5234068,5099560.333,5311786,1107695.5,1107695.5,1107695.5,1107695.5,5317322,4497876.5,6091011,1107695.5,2909074,4933982,5118767
100.0292442,429.2151357,13235424,17291509.33,18415566,12415264.33,15346438.33,9278720.333,9623387.5,7397461.333,7653208.667,7047309.5,10551482.5,8306261,6491584,15889558,13869733,2831610,8468701,10802917.5,9234045,11120400,9312564,7838857,6235480,2831610,13514000.5,11158534,12615705.5,9366407.667,6699606,7764717,6486684.667,5663220,6156965,8736976
100.029287,477.6082263,23024134,1378619.5,1378619.5,1378619.5,1378619.5,21784013,1378619.5,1378619.5,1378619.5,1378619.5,3334597,5399910,14710562,1378619.5,1378619.5,1378619.5,1378619.5,1378619.5,1378619.5,1378619.5,3203409,1378619.5,1378619.5,17716128,26376705,19429986,1378619.5,3797554,1378619.5,1378619.5,5041553.5,1378619.5,2757239,5607669
100.0397969,39.86303667,14979504.33,6485092.667,5357494,4909258,7359697,5414797,4787738.667,4270535.667,4353953.667,3963670,4002399,3848605,3482797,2970779,3392929.667,3258568.333,4415914.333,3560433.333,5619460.333,3865853.333,3624983,3596983.667,3478136.333,3232841,3230382.333,3052531,3976308,3297180,3933235.333,3628603.333,4341095.667,3987262.333,3898063.333,3588720
100.0636795,40.94833676,51136363.67,44898256,38166570,35305809,38360569,38216715.67,34502136,29006960.67,29822758.67,27960565,27261356,20614426.33,22197417,19195989,23334270.33,23158645.67,25369957,22560935,22168622.67,24977252.33,23035161.33,20578436,21903486,20081210.33,20103319,19606802.67,23889435.33,18551033.33,26780107,25610274.67,27326058.33,24754616.67,24988321.67,22078723
100.076195,74.78813244,140773913,33387621.33,3231005.5,9314870,43242537,24965837,10912263.67,7483297.5,12276529.33,10356251,43069717.67,11882473.67,359318361.3,16835150.5,11356492,8161645,12535154.67,23941627,24533221.33,52130710,129139907,6462011,8379602,3231005.5,3231005.5,40179305.67,3231005.5,39160231.33,12465945,3231005.5,10114625.67,65032495.67,26165475.33,7131674.333
