"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"194.9454695","C00236","M-C3H4O2+H[1+]","6.9667700017817e-06"
"194.9454695","C00988","M+K[1+]","0.000293033229979756"
"194.9454695","C01159","M-C3H4O2+H[1+]","6.9667700017817e-06"
"171.0762634","C00214","M-C3H4O2+H[1+]","0.000213066770044179"
"112.0409211","C00896","M(C13)+3H[3+]","0.000544633230020963"
"112.0409211","C00542","M+2H[2+]","5.53667699847438e-05"
"112.0409211","C00799","M+2H[2+]","0.000405366769982152"
"114.0520332","C00543","M+HCOONa[1+]","0.000443266769991624"
"114.0520332","C00797","M+HCOONa[1+]","0.000443266769991624"
"192.0653504","C00328","M-NH3+H[1+]","0.000226066770011357"
"192.0653504","C00624","M(S34)+H[1+]","0.00142606677002277"
"192.0653504","C00352","M-HCOONa+H[1+]","0.000226066770039779"
"192.0653504","C00826","M-H4O2+H[1+]","0.000126066770008038"
"192.0653504","C01283","M-HCOONa+H[1+]","0.000226066770039779"
"152.0566077","C00073","M(Cl37)+H[1+]","0.00113123323001219"
"152.0566077","C00242","M+H[1+]","6.87667699992289e-05"
"152.0566077","C00855","M(Cl37)+H[1+]","0.00113123323001219"
"152.0566077","C00049","M+H2O+H[1+]","0.00123123322998708"
"152.0566077","C00402","M+H2O+H[1+]","0.00123123322998708"
"152.0565885","C00073","M(Cl37)+H[1+]","0.00111203323001519"
"152.0565885","C00242","M+H[1+]","8.79667699962283e-05"
"152.0565885","C00855","M(Cl37)+H[1+]","0.00111203323001519"
"152.0565885","C00049","M+H2O+H[1+]","0.00121203322999008"
"152.0565885","C00402","M+H2O+H[1+]","0.00121203322999008"
"236.0530587","C00250","M+HCOONa[1+]","0.000182233230020756"
"239.0691401","C00774","M-H4O2+H[1+]","0.00103636676999486"
"239.0691401","C00814","M-HCOOH+H[1+]","0.00123636676997307"
"167.0926532","C00418","M+H2O+H[1+]","0.00117673322998257"
"167.0926532","C00522","M+H2O+H[1+]","0.00117673322998257"
"170.0814292","C00314","M+H[1+]","0.000252733229984869"
"170.0814292","C00547","M+H[1+]","0.000252733229984869"
"170.0814292","C00355","M-CO+H[1+]","0.000352733229988189"
"106.0320414","C00341","M(C13)+3H[3+]","0.000898266563339689"
"106.0320414","C01010","M(C13)+H[1+]","0.000835066769994341"
"161.0708431","C01109","M(S34)+H[1+]","0.00133336677001239"
"233.1379949","C01223","M+H2O+H[1+]","0.000918433229969651"
"195.0027208","C00093","M+Na[1+]","0.000255666770016205"
"195.0027208","C00262","M+NaCl[1+]","0.00165566677000584"
"195.0027208","C00623","M+Na[1+]","0.000255666770016205"
"253.0473679","C00961","M-C3H4O2+H[1+]","0.00220856677000825"
"253.0473679","C00974","M-H4O2+H[1+]","0.00210856677000493"
"253.0473679","C01378","M-H4O2+H[1+]","0.00210856677000493"
"98.97546944","C00059","M+H[1+]","0.0007929732300056"
"178.9545775","C00957","M+NaCl[1+]","0.000601033229997938"
"97.97629621","C00009","M[1+]","0.000603789999999549"
"140.0413198","C00156","M(C13)+H[1+]","0.00105666677001182"
"140.0413198","C00587","M(C13)+H[1+]","0.00105666677001182"
"140.0413198","C00805","M(C13)+H[1+]","0.00105666677001182"
"162.075679","C00956","M+H[1+]","0.000397466770010624"
"162.075679","C01046","M+H[1+]","0.000397466770010624"
"162.075679","C01077","M+H[1+]","0.000397466770010624"
"162.075679","C00248","M-CO2+H[1+]","0.00129746677001208"
"162.075679","C00329","M-H2O+H[1+]","0.000397466769982202"
"162.075679","C00579","M-HCOOH+H[1+]","0.00139746676998698"
"162.075679","C00624","M-CO+H[1+]","0.000297466770007304"
"162.075679","C01214","M-H2O+H[1+]","0.000397466769982202"
"98.05997153","C00148","M-H2O+H[1+]","4.93676999724357e-06"
"98.05997153","C00314","M-C3H4O2+H[1+]","0.000104936770000563"
"98.05997153","C00547","M-C3H4O2+H[1+]","0.000104936770000563"
"98.05997153","C00747","M+H2O+H[1+]","0.000104936769986352"
"98.05997153","C00763","M-H2O+H[1+]","4.93676999724357e-06"
"98.05997153","C01297","M+2H[2+]","5.49367699989034e-05"
"244.0228639","C00248","M+K[1+]","0.000587433229981116"
"244.0228639","C00651","M+HCOOK[1+]","0.00108743322999771"
"244.0228639","C01111","M+Na[1+]","0.00118743323000103"
"181.0142689","C00153","M+NaCl[1+]","0.000392433229990274"
"132.9693768","C00074","M-H4O2+H[1+]","0.00090033322996419"
"383.0370624","C00994","M+HCOOK[1+]","0.000414066769963028"
"111.063281","C00864","M(C13)+2H[2+]","0.00104546676999462"
"114.0348213","C01059","M(S34)+H[1+]","0.000255166769989046"
"114.0348213","C00650","M-H4O2+H[1+]","0.00104483323001148"
"153.0908483","C01014","M+H[1+]","0.000128166769997051"
"153.0908483","C00590","M-CO+H[1+]","2.81667699937316e-05"
"783.2798818","C00317","M-HCOOH+H[1+]","0.00330533322994597"
"604.9735939","C01228","M(C13)+H[1+]","0.00591743322991078"
"180.1017653","C00955","M+H2O+H[1+]","0.00021116677001487"
"486.9669704","C00075","M(S34)+H[1+]","0.00460606677000897"
"91.03963989","C00184","M+H[1+]","0.000663423230008675"
"91.03963989","C00186","M+H[1+]","0.000663423230008675"
"91.03963989","C00256","M+H[1+]","0.000663423230008675"
"91.03963989","C00577","M+H[1+]","0.000663423230008675"
"91.03963989","C01013","M+H[1+]","0.000663423230008675"
"91.03963989","C01432","M+H[1+]","0.000663423230008675"
"91.03963989","C00031","M+2H[2+]","0.000663423230008675"
"91.03963989","C00042","M-CO+H[1+]","0.000763423230011995"
"91.03963989","C00095","M+2H[2+]","0.000663423230008675"
"91.03963989","C00124","M+2H[2+]","0.000663423230008675"
"91.03963989","C00137","M+2H[2+]","0.000663423230008675"
"91.03963989","C00149","M-CO2+H[1+]","0.000663423230008675"
"91.03963989","C00159","M+2H[2+]","0.000663423230008675"
"91.03963989","C00221","M+2H[2+]","0.000663423230008675"
"91.03963989","C00247","M+2H[2+]","0.000663423230008675"
