"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"85.07772822/105.4346481"	"155367142.1"	"238976822.7"	"206792442.1"	"113795624"	"171835183.2"	"240295239"	"227711325.7"	"300993552.8"	"180968238.2"	"207226752.7"
"85.08405836/242.1369706"	"1065881.63"	"56897812"	"56897812"	"1673909.322"	"1785035.609"	"56897812"	"1401879.066"	"1786390.636"	"902818.7238"	"1428089.42"
"86.08105757/98.79770703"	"18033792.13"	"27167911.43"	"23729352.05"	"13103520.27"	"19234171.35"	"26859567.27"	"22752890.4"	"29150051.02"	"20553831.55"	"20879915.86"
"86.09633645/261.9468875"	"56897812"	"6977490.318"	"7949819.266"	"13739978.14"	"13184049.32"	"7014731.828"	"9478228.656"	"14546072.97"	"17305688.48"	"10741329.28"
"86.70667908/238.9289131"	"983247.8701"	"56897812"	"56897812"	"1368909.646"	"801786.4972"	"56897812"	"170754.4072"	"334434.0815"	"1739760.028"	"124050.8415"
"87.04400057/103.0939317"	"2923319.015"	"2633234.268"	"2489754.685"	"2875853.726"	"3119336.509"	"2468607.548"	"3418346.569"	"2861279.386"	"3012322.776"	"3271079.999"
"87.04628889/239.1912691"	"771186.0031"	"56897812"	"56897812"	"986119.4894"	"395404.8238"	"56897812"	"507392.4871"	"926465.0611"	"924652.2979"	"865679.2524"
"87.08039933/82.8218311"	"146004.5499"	"404442.5641"	"399916.365"	"484458.7708"	"581898.096"	"488614.758"	"16515.14145"	"269942.6671"	"414296.804"	"742952.516"
"87.50164985/19.504242"	"276739.4588"	"985507.5919"	"167221.2479"	"131437.9528"	"56897812"	"315035.8612"	"56897812"	"56897812"	"185396.463"	"56897812"
"87.97368973/153.1753055"	"1570361.826"	"56897812"	"56897812"	"1864956.233"	"1405275.098"	"56897812"	"1220314.695"	"1526879.059"	"1777323.255"	"1871411.759"
"88.02145833/208.3189055"	"13796522.98"	"56897812"	"1026570.286"	"1669539.09"	"15865205.8"	"56897812"	"18440620.5"	"2563717.478"	"1475175.772"	"969612.5734"
"88.0214656/262.354726"	"56897812"	"19826.68386"	"245457.1936"	"1676806.715"	"56897812"	"477919.9633"	"56897812"	"1143668.273"	"1196465.104"	"1624130.754"
"88.0392204/247.6105556"	"870501.9313"	"17506.34108"	"585120.6581"	"1389161.277"	"838687.6224"	"56897812"	"830570.9728"	"1203601.682"	"1197499.476"	"1198880.991"
"88.05773345/79.29863762"	"22054727.13"	"7834857.447"	"6758787.928"	"13324384.66"	"16096958.42"	"7348892.069"	"17310548.53"	"20425288.83"	"15406584.56"	"15747253.5"
"88.07561082/215.3872973"	"49329831.03"	"1036883.981"	"1329344.329"	"33558786.74"	"56897812"	"4719135.83"	"11911856.06"	"13152618.27"	"17490121.1"	"1412429.68"
"88.07562776/16.54890429"	"26441104.26"	"29842176.48"	"29275611.45"	"19796205.1"	"12872554.59"	"13530904.28"	"12720113.33"	"16994221.43"	"13773500.51"	"13810035.23"
"88.43685044/185.2798779"	"1339867.815"	"56897812"	"56897812"	"1223214.846"	"56897812"	"56897812"	"1725762.124"	"56897812"	"862094.4334"	"1299447.489"
"88.43686583/286.8716967"	"659802.198"	"56897812"	"56897812"	"762328.1456"	"663411.436"	"56897812"	"350052.9948"	"503240.1386"	"667484.0809"	"238398.5245"
"88.52069247/282.5145321"	"4050964.623"	"3796084.967"	"7699618.952"	"2118601.201"	"3972859.037"	"2374261.1"	"2716506.802"	"3558516.423"	"3165637.897"	"3374801.933"
"88.52069481/20.7671789"	"840946.0281"	"356231.2585"	"522732.1304"	"651605.1855"	"184055.7124"	"371699.0955"	"203800.1255"	"201798.6638"	"601967.8647"	"219198.3638"
"88.79044567/185.5242464"	"544377.5418"	"56897812"	"56897812"	"878735.7284"	"1310520.341"	"56897812"	"1059986.598"	"1504412.714"	"583021.4838"	"902298.8298"
"88.79045315/272.7156898"	"593457.9959"	"56897812"	"56897812"	"1043980.883"	"293902.2723"	"56897812"	"727422.9074"	"176698.2239"	"462098.2086"	"445492.3035"
"88.9319783/8.924641255"	"152838.148"	"330496.7905"	"173765.8843"	"188724.4646"	"56897812"	"181925.7402"	"56897812"	"56897812"	"123189.4358"	"104380.7217"
"89.00825114/20.6355042"	"119800.418"	"246654.8408"	"341872.2478"	"296935.7478"	"204606.7439"	"285159.1302"	"177684.6929"	"136257.976"	"260350.2542"	"187462.3927"
"89.01831051/284.4486122"	"8061958.717"	"8022374.562"	"6969885.626"	"7344904.58"	"6100248.522"	"3540617.755"	"3177997.534"	"3867920.018"	"3641513.751"	"4145939.242"
"89.03447286/4.019351346"	"92485.12705"	"56897812"	"56897812"	"99190.45335"	"42122.60167"	"189900.3915"	"181604.7487"	"137061.0879"	"40527.41758"	"113667.3236"
"89.03814211/184.6220166"	"27668810.36"	"56897812"	"7322396.534"	"56897812"	"33922016.25"	"56897812"	"39378308.89"	"4374332.432"	"56897812"	"56897812"
"89.04179696/88.14702492"	"6714261.834"	"2487882.6"	"2021503.749"	"3045073.766"	"5536215.331"	"2577603.35"	"6010450.504"	"6434764.143"	"5466946.251"	"5876000.553"
"89.04233488/209.6296393"	"2006817.827"	"3144325.466"	"2927549.326"	"2192545.018"	"3207013.764"	"3173085.072"	"3602778.469"	"5638001.52"	"3997968.203"	"4137122.432"
"89.05958289/109.1088025"	"5929006.315"	"4702413.34"	"5435872.584"	"4765275.236"	"6293255.165"	"5567959.032"	"6670552.476"	"6699589.847"	"7149974.302"	"7135026.574"
"89.05960597/28.00896798"	"1808258.732"	"3486835.084"	"4450744.502"	"1438402.692"	"3754359.37"	"4489687.679"	"5077815.99"	"2030758.358"	"5926785.022"	"2581493.996"
"89.07085034/246.7962187"	"2082569.837"	"909503.871"	"436430.5313"	"1110302.435"	"1368361.729"	"18403.82165"	"1040603.725"	"984898.9839"	"1361869.506"	"1023114.265"
"89.10722387/289.2428764"	"2367644.769"	"1441523.39"	"1905129.214"	"1071458.846"	"1878842.127"	"1448532.862"	"2533761.163"	"1347516.157"	"1030671.573"	"1070094.394"
"89.12178101/103.7244157"	"56897812"	"56897812"	"56897812"	"56897812"	"454386.4385"	"56897812"	"564213.7229"	"880455.8485"	"276960.7486"	"790312.8308"
