Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
GE_BrightCorner			
DarkCorner			
DarkCorner			
NM_015987	HEBP1	heme binding protein 1	hs|12p13.1
NM_080671	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	hs|2q36.1
NM_178466	BPIFA3	BPI fold containing family A, member 3	hs|20q11.21
AK128005	LOC100129869	uncharacterized LOC100129869	hs|20q13.32
ENST00000449753	IRG1	immunoresponsive 1 homolog (mouse)	hs|13q22.3
NR_024244	SNAR-G2	small ILF3/NF90-associated RNA G2	hs|19q13.33
NR_038269	LOC100506844	uncharacterized LOC100506844	hs|12q14.1
NM_016951	CKLF	chemokine-like factor	hs|16q21
NM_002413	MGST2	microsomal glutathione S-transferase 2	hs|4q31.1
NM_001162407	CLK1	CDC-like kinase 1	hs|2q33.1
NM_022375	OCLM	oculomedin	hs|1q31.1
NR_026941	CASC2	cancer susceptibility candidate 2 (non-protein coding)	hs|10q26.11
NR_026646	PWRN1	Prader-Willi region non-protein coding RNA 1	hs|15q11.2
NM_001170704	MBNL3	muscleblind-like 3 (Drosophila)	hs|Xq26.2
NM_016230	CYB5R4	cytochrome b5 reductase 4	hs|6q14.2
NM_014620	HOXC4	homeobox C4	hs|12q13.13
NM_016282	AK3	adenylate kinase 3	hs|9p24.1
ENST00000319813			hs|11p11.2
NM_032228	FAR1	fatty acyl CoA reductase 1	hs|11p15.2
TCONS_l2_00024969	XLOC_l2_013153		hs|6q24.3
XR_110904	LOC100129203	uncharacterized LOC100129203	hs|11q21
ENST00000374189	MAPK8	mitogen-activated protein kinase 8	hs|10q11.22
NM_001195753	THAP3	THAP domain containing, apoptosis associated protein 3	hs|1p36.31
TCONS_00012833	XLOC_005939		hs|6q27
NM_030969	TMEM14B	transmembrane protein 14B	hs|6p24.2
ENST00000434947	XLOC_005179		hs|6p23
NM_194449	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	hs|18q21.33
NM_006121	KRT1	keratin 1	hs|12q13.13
NM_002999	SDC4	syndecan 4	hs|20q13.12
ENST00000443993	XLOC_l2_015038		hs|9q34.11
THC2750096			hs|11p15.5
ENST00000396843			hs|19q13.2
AL359570	DKFZp547G183	uncharacterized LOC55525	hs|11q14.1
A_33_P3402773			hs|22q11.23
AK091675	LOC286087	uncharacterized LOC286087	hs|8p23.3
NR_024420	LOC389634	uncharacterized LOC389634	hs|12p13.31
NM_001127320	UBAP2L	ubiquitin associated protein 2-like	hs|1q21.3
NM_004295	TRAF4	TNF receptor-associated factor 4	hs|17q11.2
NM_001166137	FAM75C2	family with sequence similarity 75, member C2	hs|9q22.1
NM_002108	HAL	histidine ammonia-lyase	hs|12q23.1
NM_000147	FUCA1	fucosidase, alpha-L- 1, tissue	hs|1p36.11
NM_002001	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	hs|1q23.2
ENST00000418358	XLOC_001975		hs|2p25.1
NM_005871	SMNDC1	survival motor neuron domain containing 1	hs|10q25.2
XR_108496	LOC100507291	uncharacterized LOC100507291	hs|3q23
ENST00000397190			hs|19p13.11
NM_198963	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	hs|2p22.1
NM_174937	TCERG1L	transcription elongation regulator 1-like	hs|9q22.31
TCONS_00021994	XLOC_010597		hs|13q14.13
NM_000430	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	hs|17p13.3
THC2728684	Q3AHP4		hs|5q35.1
NM_005952	MT1X	metallothionein 1X	hs|16q13
NM_001242480	LOC389831	uncharacterized LOC389831	
NM_001242313	TMEM191B	transmembrane protein 191B	hs|22q11.21
A_33_P3390097			hs|12q24.31
NM_001145080	C17orf104	chromosome 17 open reading frame 104	hs|17q21.31
A_33_P3227225			hs|2q21.1
NM_007282	RNF13	ring finger protein 13	hs|3q25.1
NM_007166	PICALM	phosphatidylinositol binding clathrin assembly protein	hs|11q14.2
NR_002777	TRIM78P	tripartite motif containing 78, pseudogene	hs|11p15.4
NM_006751	SSFA2	sperm specific antigen 2	hs|2q31.3
NM_018602	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	hs|15q25.1
NM_014977	ACIN1	apoptotic chromatin condensation inducer 1	hs|14q11.2
NM_002742	PRKD1	protein kinase D1	hs|14q12
NM_033141	MAP3K9	mitogen-activated protein kinase kinase kinase 9	hs|14q24.2
NM_003104	SORD	sorbitol dehydrogenase	hs|15q21.1
THC2635041	XLOC_001602		hs|2q12.1
NM_206998	SCGB1D4	secretoglobin, family 1D, member 4	hs|11q12.3
XR_132472	LOC100287813	uncharacterized LOC100287813	hs|1q24.2
NM_012279	ZNF346	zinc finger protein 346	hs|5q35.2
TCONS_00001604	XLOC_000934		hs|1p21.2
NM_203487	PCDH9	protocadherin 9	hs|13q21.32
TCONS_00029272	XLOC_014042		hs|21q21.3
NM_014845	FIG4	FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)	hs|6q21
NM_145914	ZSCAN21	zinc finger and SCAN domain containing 21	hs|7q22.1
NM_000619	IFNG	interferon, gamma	hs|12q15
NM_145071	CISH	cytokine inducible SH2-containing protein	hs|3p21.2
NM_001008271	SCXA	scleraxis homolog A (mouse)	hs|8q24.3
NM_006322	TUBGCP3	tubulin, gamma complex associated protein 3	hs|13q34
NM_000043	FAS	Fas (TNF receptor superfamily, member 6)	hs|10q23.31
TCONS_00014004	XLOC_006644		hs|7q36.1
NM_004093	EFNB2	ephrin-B2	hs|13q33.3
NM_030622	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1	hs|19q13.2
NM_001017963	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	hs|14q32.31
ENST00000432976	XLOC_001128		hs|1q31.1
NM_000039	APOA1	apolipoprotein A-I	hs|11q23.3
NM_201274	MPRIP	myosin phosphatase Rho interacting protein	hs|17p11.2
NM_170672	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	hs|2p22.3
NM_001031698	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae)	hs|12q13.12
NR_002815	TPTE2P6	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6	hs|13q12.12
NM_004098	EMX2	empty spiracles homeobox 2	hs|10q26.11
ENST00000390305			hs|22q11.22
TCONS_00011998	XLOC_005512		hs|6q25.3
NM_024623	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	hs|12q24.31
NM_152358	IZUMO2	IZUMO family member 2	hs|19q13.33
ENST00000507323	XLOC_004428		hs|5q13.3
AK127601			hs|12q13.12
NM_005343	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	hs|11p15.5
TCONS_l2_00016423	XLOC_l2_008731		hs|20p13
THC2677865	XLOC_009428		hs|11p11.2
XR_112616	LOC389199	uncharacterized LOC389199	hs|4p16.1
DQ459429			
NR_040012	SPAG5-AS1	SPAG5 antisense RNA 1 (non-protein coding)	hs|17q11.2
NM_001193460	MSRB3	methionine sulfoxide reductase B3	hs|12q14.3
THC2494281			hs|12p13.31
NM_001081550	THOC2	THO complex 2	hs|Xq25
ENST00000438753	XLOC_008342		hs|10p15.3
TCONS_00012054	XLOC_005586		hs|6p25.2
NR_029376	LOC100294362	uncharacterized LOC100294362	hs|17q25.3
TCONS_00014261	XLOC_006364		hs|7p21.1
ENST00000436991	LOC100507013		hs|1p36.11
ENST00000369381			hs|1q21.1
NR_033873	FLJ30838	uncharacterized LOC400955	hs|2p16.1
NM_001204890	ISY1-RAB43	ISY1-RAB43 readthrough	hs|3q21.3
